,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
50,31-Jul-2024,EQ,319.9,320.6,315.45,318.1,316.3,316.05,317.09,340.5,123.5,"2,57,09,971","8,15,22,64,097.05","2,00,287"
51,30-Jul-2024,EQ,325.2,326.55,317.6,321.35,317.8,318.1,321.12,340.5,123.5,"4,11,11,245","13,20,14,53,383.20","2,88,057"
52,29-Jul-2024,EQ,312.8,325.6,310.85,309.9,321.3,321.35,318.88,340.5,123.5,"5,13,91,698","16,38,76,95,590.30","3,63,672"
53,26-Jul-2024,EQ,303.8,310.5,302.0,301.45,310.45,309.9,307.64,340.5,123.5,"2,45,12,844","7,54,10,49,572.20","1,70,966"
54,25-Jul-2024,EQ,297.95,303.4,293.4,300.1,302.0,301.45,299.59,340.5,123.5,"2,78,20,556","8,33,48,16,259.05","2,23,174"
55,24-Jul-2024,EQ,302.5,306.5,299.3,301.45,300.6,300.1,302.34,340.5,123.5,"2,40,99,148","7,28,62,08,315.95","3,34,733"
56,23-Jul-2024,EQ,317.0,317.0,281.1,312.3,301.5,301.45,302.55,340.5,123.5,"7,65,13,131","23,14,87,88,750.85","5,88,743"
57,22-Jul-2024,EQ,306.0,314.7,297.3,306.3,313.8,312.3,309.54,340.5,123.5,"3,93,86,992","12,19,18,16,982.95","3,97,073"
58,19-Jul-2024,EQ,309.9,316.9,305.0,313.55,306.8,306.3,309.28,340.5,123.5,"4,33,13,606","13,39,60,81,276.45","3,70,871"
59,18-Jul-2024,EQ,326.5,326.7,312.3,326.15,313.15,313.55,316.21,340.5,123.5,"4,80,43,715","15,19,21,40,094.60","4,27,400"
60,16-Jul-2024,EQ,333.25,334.4,324.5,331.4,326.4,326.15,328.69,340.5,123.5,"2,65,85,927","8,73,84,53,755.30","2,27,205"
61,15-Jul-2024,EQ,336.0,336.05,331.0,333.1,331.95,331.4,332.45,340.5,123.5,"2,20,21,926","7,32,11,38,976.00","1,75,145"
62,12-Jul-2024,EQ,336.9,337.5,328.1,335.5,331.5,333.1,333.48,340.5,122.5,"2,45,17,961","8,17,63,54,799.70","2,17,819"
63,11-Jul-2024,EQ,335.5,338.2,333.0,333.85,335.8,335.5,335.34,340.5,122.5,"3,19,19,433","10,70,38,22,546.75","2,45,927"
64,10-Jul-2024,EQ,340.0,340.5,324.15,334.8,334.0,333.85,333.25,340.5,122.5,"4,67,79,965","15,58,92,57,255.45","3,92,471"
